xYear,State,Schedule_Group,Age_Group,rundatetime,PillCount,RxCount,MeanPill_byRx
2015,CA,2,15-24 yrs,06MAY2016:01:14:10,54005353,1368435,39.5
2015,CA,2,25-44 yrs,06MAY2016:01:14:10,290537662.43,4883160,59.5
2015,CA,2,45-64 yrs,06MAY2016:01:14:10,678612684.3,8564922,79.2
2015,CA,2,=< 14 yrs,06MAY2016:01:14:10,35958297.49,890529,40.4
2015,CA,2,>= 65 yrs,06MAY2016:01:14:10,376518252.92,4924901,76.5
2015,CA,3,15-24 yrs,06MAY2016:01:14:10,4355942.3603,182383,23.9
2015,CA,3,25-44 yrs,06MAY2016:01:14:10,20186525.09,627877,32.2
2015,CA,3,45-64 yrs,06MAY2016:01:14:10,41090041.66,874000,47.0
2015,CA,3,=< 14 yrs,06MAY2016:01:14:10,699141.96759,30282,23.1
2015,CA,3,>= 65 yrs,06MAY2016:01:14:10,31372108.192,564238,55.6
2015,CA,4,15-24 yrs,06MAY2016:01:14:10,26930901.795,607543,44.3
2015,CA,4,25-44 yrs,06MAY2016:01:14:10,215226981.57,4632592,46.5
2015,CA,4,45-64 yrs,06MAY2016:01:14:10,501242765.98,9647012,52.0
2015,CA,4,=< 14 yrs,06MAY2016:01:14:10,15776425.095,204150,77.3
2015,CA,4,>= 65 yrs,06MAY2016:01:14:10,328558290.3,6327825,51.9
2016,CA,2,15-24 yrs,10SEP2017:11:05:55,31367448.35,817743,38.4
2016,CA,2,25-44 yrs,10SEP2017:11:05:55,169072688.14,2960620,57.1
2016,CA,2,45-64 yrs,10SEP2017:11:05:55,404744366.01,5273204,76.8
2016,CA,2,=< 14 yrs,10SEP2017:11:05:55,21833864.727,546320,40.0
2016,CA,2,>= 65 yrs,10SEP2017:11:05:55,247261603.99,3299667,74.9
2016,CA,3,15-24 yrs,10SEP2017:11:05:55,2495425.391,108993,22.9
2016,CA,3,25-44 yrs,10SEP2017:11:05:55,12609321.8,394618,32.0
2016,CA,3,45-64 yrs,10SEP2017:11:05:55,24770749.525,537798,46.1
2016,CA,3,=< 14 yrs,10SEP2017:11:05:55,353698.46,15753,22.5
2016,CA,3,>= 65 yrs,10SEP2017:11:05:55,19813517.69,360730,54.9
2016,CA,4,15-24 yrs,10SEP2017:11:05:55,15321270.721,369556,41.5
2016,CA,4,25-44 yrs,10SEP2017:11:05:55,123439713.8,2836102,43.5
2016,CA,4,45-64 yrs,10SEP2017:11:05:55,299883613.55,5910148,50.7
2016,CA,4,=< 14 yrs,10SEP2017:11:05:55,10407417.482,139634,74.5
2016,CA,4,>= 65 yrs,10SEP2017:11:05:55,215278684.42,4157589,51.8
2017,CA,2,15-24 yrs,01APR2018:11:13:08,46331271.7,1227520,37.7
2017,CA,2,25-44 yrs,01APR2018:11:13:08,247127595.95,4477219,55.2
2017,CA,2,45-64 yrs,01APR2018:11:13:08,587162611.29,7895230,74.4
2017,CA,2,=< 14 yrs,01APR2018:11:13:08,35489647.373,899437,39.5
2017,CA,2,>= 65 yrs,01APR2018:11:13:08,380047363.58,5226112,72.7
2017,CA,3,15-24 yrs,01APR2018:11:13:08,3520474.308,156934,22.4
2017,CA,3,25-44 yrs,01APR2018:11:13:08,18826850.607,599133,31.4
2017,CA,3,45-64 yrs,01APR2018:11:13:08,36121742.777,809259,44.6
2017,CA,3,=< 14 yrs,01APR2018:11:13:08,440764.215,19613,22.5
2017,CA,3,>= 65 yrs,01APR2018:11:13:08,29987740.276,559086,53.6
2017,CA,4,15-24 yrs,01APR2018:11:13:08,21745073.958,539374,40.3
2017,CA,4,25-44 yrs,01APR2018:11:13:08,179416590.14,4319377,41.5
2017,CA,4,45-64 yrs,01APR2018:11:13:08,435405367.2,8843539,49.2
2017,CA,4,=< 14 yrs,01APR2018:11:13:08,16121193.46,214296,75.2
2017,CA,4,>= 65 yrs,01APR2018:11:13:08,331882556.23,6616513,50.2
2018,CA,2,15-24 yrs,07APR2019:11:33:42,40781843.8,1109581,36.8
2018,CA,2,25-44 yrs,07APR2019:11:33:42,211472446.41,4025363,52.5
2018,CA,2,45-64 yrs,07APR2019:11:33:42,494518572.05,6990133,70.7
2018,CA,2,=< 14 yrs,07APR2019:11:33:42,33950350.442,871745,38.9
2018,CA,2,>= 65 yrs,07APR2019:11:33:42,346984099.7,4984532,69.6
2018,CA,3,15-24 yrs,07APR2019:11:33:42,2877581.4158,132616,21.7
2018,CA,3,25-44 yrs,07APR2019:11:33:42,17205506.225,569174,30.2
2018,CA,3,45-64 yrs,07APR2019:11:33:42,31875168.394,747650,42.6
2018,CA,3,=< 14 yrs,07APR2019:11:33:42,291134.20154,12747,22.8
2018,CA,3,>= 65 yrs,07APR2019:11:33:42,27607928.253,530021,52.1
2018,CA,4,15-24 yrs,07APR2019:11:33:42,17925625.261,463593,38.7
2018,CA,4,25-44 yrs,07APR2019:11:33:42,153411526.77,3899780,39.3
2018,CA,4,45-64 yrs,07APR2019:11:33:42,369304476.32,7846560,47.1
2018,CA,4,=< 14 yrs,07APR2019:11:33:42,14589548.388,195127,74.8
2018,CA,4,>= 65 yrs,07APR2019:11:33:42,307177532.98,6339601,48.5
2019,CA,2,15-24 yrs,05APR2020:10:57:17,36103067.041,1003873,36.0
2019,CA,2,25-44 yrs,05APR2020:10:57:17,183911838.15,3659960,50.2
2019,CA,2,45-64 yrs,05APR2020:10:57:17,417202046.04,6184296,67.5
2019,CA,2,=< 14 yrs,05APR2020:10:57:17,30029432.89,778608,38.6
2019,CA,2,>= 65 yrs,05APR2020:10:57:17,317366654.3,4805294,66.0
2019,CA,3,15-24 yrs,05APR2020:10:57:17,2474713.7189,117286,21.1
2019,CA,3,25-44 yrs,05APR2020:10:57:17,16339607.664,531802,30.7
2019,CA,3,45-64 yrs,05APR2020:10:57:17,28644980.93,684768,41.8
2019,CA,3,=< 14 yrs,05APR2020:10:57:17,213281.6566,9503,22.4
2019,CA,3,>= 65 yrs,05APR2020:10:57:17,24613628.177,505387,48.7
2019,CA,4,15-24 yrs,05APR2020:10:57:17,15099631.36,397131,38.0
2019,CA,4,25-44 yrs,05APR2020:10:57:17,129892864.75,3459015,37.6
2019,CA,4,45-64 yrs,05APR2020:10:57:17,304193085.21,6798090,44.7
2019,CA,4,=< 14 yrs,05APR2020:10:57:17,13454561.695,176318,76.3
2019,CA,4,>= 65 yrs,05APR2020:10:57:17,277354401.65,5993151,46.3
2020,CA,2,15-24 yrs,04APR2021:08:24:55,33136432.428,925294,35.8
2020,CA,2,25-44 yrs,04APR2021:08:24:55,173890780.44,3510338,49.5
2020,CA,2,45-64 yrs,04APR2021:08:24:55,377719163.77,5639782,67.0
2020,CA,2,=< 14 yrs,04APR2021:08:24:55,25879892.47,661873,39.1
2020,CA,2,>= 65 yrs,04APR2021:08:24:55,306177190.86,4564148,67.1
2020,CA,3,15-24 yrs,04APR2021:08:24:55,2166609.1795,102929,21.0
2020,CA,3,25-44 yrs,04APR2021:08:24:55,15950472.816,479617,33.3
2020,CA,3,45-64 yrs,04APR2021:08:24:55,26823178.25,616509,43.5
2020,CA,3,=< 14 yrs,04APR2021:08:24:55,177875.47156,7730,23.0
2020,CA,3,>= 65 yrs,04APR2021:08:24:55,23716376.754,477873,49.6
2020,CA,4,15-24 yrs,04APR2021:08:24:55,13385011.254,348670,38.4
2020,CA,4,25-44 yrs,04APR2021:08:24:55,119900879.64,3154602,38.0
2020,CA,4,45-64 yrs,04APR2021:08:24:55,275991816.23,6176646,44.7
2020,CA,4,=< 14 yrs,04APR2021:08:24:55,12643477.955,168188,75.2
2020,CA,4,>= 65 yrs,04APR2021:08:24:55,265235241.01,5746132,46.2
