xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Rx Count Pph per 100000,,PatCount_OpBenzo_Pat,RxCount_Schedule234_Rx_Pph,PatCount_MultiDisp,PatCount_MultiRxer
2016,CA,Los Angeles,90001,04APR2021:08:30:51,7879,985,7653,4202,35588,354607,389400,7717,50.5,95,28312,408,112,2605,66,39.5,32224,771,41.8,12,13,2,230,176,29934,7,37,0,"57,110",1724.741726,,,,,
2016,CA,Los Angeles,90002,04APR2021:08:30:51,10927,995,6483,5072,44514,267895,565751,10701,52.9,40,22834,208,180,5270,105,50.2,18119,357,50.8,22,5,1,300,166,3423,4,10,0,"51,223",1942.486774,,,,,
2016,CA,Los Angeles,90003,04APR2021:08:30:51,12814,1527,484,6073,69210,19589,685118,12512,54.8,81,68652,727,191,4931,74,66.6,59942,1243,48.2,40,14,3,334,861,782,6,80,1,"66,266",2304.349138,,,,,
2016,CA,Los Angeles,90004,04APR2021:08:30:51,7149,4442,3318,3987,227289.04,241256,354215,6832,51.8,300,275825,1691,136,21230,357,59.5,203421,3225,63.1,44,29,0,197,7701,15497,16,222,11,"62,180",7143.776134,,,,,
2016,CA,Los Angeles,90005,04APR2021:08:30:51,4292,1655,1579,2342,27805,79936,217782,4188,52,44,40029,218,71,1125,36,31.3,18943,436,43.4,24,21,1,116,359,9942,4,9,0,"37,681",4392.133967,,,,,
2016,CA,Los Angeles,90006,04APR2021:08:30:51,6318,4712,7401,3646,212770,324360,282715,6097,46.4,220,157009,1765,92,11809,237,49.8,172565,3288,52.5,37,38,0,175,874,8390,18,215,0,"59,185",7961.476726,,,,,
2016,CA,Los Angeles,90007,04APR2021:08:30:51,4643,2180,2332,2436,92475,115697,233302,4526,51.5,124,93791,656,63,11696,240,48.7,60970,1255,48.6,78,21,0,161,2316,793,9,88,1,"40,920",5327.468231,,,,,
2016,CA,Los Angeles,90008,04APR2021:08:30:51,10751,4383,4439,4351,226748,366317,651124,10504,62,431,141035,1953,144,20952,383,54.7,223033,4289,52,33,11,1,303,5802,27112,10,190,2,"32,327",13558.32586,,,,,
2016,CA,Los Angeles,90009,10SEP2017:10:31:20,333,13,0,149,435,0,16675,309,54,3,469,9,10,0,0,,435,13,33.5,0,0,0,5,0,0,1,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90010,04APR2021:08:30:51,634,3872,1648,339,151658,65567,34656,615,56.4,167,181145,1530,14,9095,159,57.2,120638,2531,47.7,42,7,0,15,1975,2836,29,321,2,"3,800",101894.7368,,,,,
