,xYear,County,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Unnamed: 35,PatCount_OpBenzo_Pat.1,RxCount_Schedule234_Rx_Pph.1,PatCount_MultiDisp.1,PatCount_MultiRxer.1
0,2016,Alameda,464416,507588,531604,179896,31206840.0,43063089.2,29073789,444844,24950,25258738.0,270073,4264,1222435.0,20779,2458.0,33810689,519876,2868.0,5662,1704,117,18264,353321,378313.0,2119,35857,2149,1515717.0,0.0,0.0,0.0,0.0,0.0
1,2016,Alpine,159,7,0,68,129.0,0.0,5010,110,1,98.0,3,3,0.0,0,0.0,279,12,48.4,4,0,0,5,14,0.0,0,0,0,1115.0,0.0,0.0,0.0,0.0,0.0
2,2016,Amador,21703,13842,18685,7269,1096409.0,1932501.0,1729476,20636,850,706623.0,7023,216,40073.0,591,312.00000000000006,1092684,13106,404.59999999999997,103,29,1,642,31508,16573.0,46,950,35,38211.0,0.0,0.0,0.0,0.0,0.0
3,2016,Butte,156347,149063,145183,45982,12142848.5,15675889.0,12922216,150073,8492,7634690.0,79959,1800,590719.0,8436,581.7,12589956,152266,767.9000000000001,742,200,9,3495,190913,172437.0,351,8834,520,220287.0,0.0,0.0,0.0,0.0,0.0
4,2016,Calaveras,28410,14734,20506,9168,1369801.0,2397201.0,2334963,26981,1000,798585.0,7281,319,92722.0,1172,435.6,1374661,14556,617.4,72,27,1,663,45696,16962.0,41,917,125,45570.0,0.0,0.0,0.0,0.0,0.0
5,2016,Colusa,8629,3870,5791,2855,339540.0,465883.0,632515,8273,233,166703.0,1807,60,9411.0,141,87.6,344293,3915,155.1,20,8,1,184,990,12628.0,15,213,7,21608.0,0.0,0.0,0.0,0.0,0.0
6,2016,Contra Costa,425295,422657,400231,149784,28378630.0,31791873.0,28253038,406374,21003,21431349.0,229685,3934,1135677.4,19379,1717.6,30775644,439581,2107.7999999999997,3640,1131,124,16846,384658,357851.0,1422,31500,1650,1043451.0,0.0,0.0,0.0,0.0,0.0
7,2016,Del Norte,19751,13532,18848,5070,1104328.0,1560369.0,2613566,19094,474,626105.0,6397,117,20277.0,358,95.1,1088133,12860,258.2,70,27,0,406,3035,14776.0,34,613,53,28596.0,0.0,0.0,0.0,0.0,0.0
8,2016,El Dorado,102320,64093,69385,34468,3794817.0,7178550.0,7277161,95362,3667,2414933.0,33608,911,185839.0,2991,683.5999999999999,3941948,60483,900.3000000000001,410,156,12,3636,69918,102321.0,218,3351,135,180987.0,0.0,0.0,0.0,0.0,0.0
9,2016,Fresno,379797,415301,454780,136938,27752546.490000002,29129381.41,23984140,372310,22134,18263407.0,214818,4425,1510000.0,22788,2258.6000000000004,28366549,413380,2618.7000000000003,2310,859,14,9715,276217,369235.0,978,19659,1375,935100.0,0.0,0.0,0.0,0.0,0.0
10,2016,Glenn,14594,7644,12196,4826,662097.0,1257138.0,1197731,14038,374,299444.0,4311,130,29643.0,350,151.9,688946,8248,174.7,33,16,0,303,4822,5413.0,15,299,15,28708.0,0.0,0.0,0.0,0.0,0.0
11,2016,Humboldt,84166,79605,80957,23921,7049994.999,10032062.999,6436388,81500,4293,4875785.0,40008,679,202159.0,3244,945.3,7116700,78783,1378.8999999999999,389,108,11,2376,15307,44491.0,210,4890,349,134681.0,0.0,0.0,0.0,0.0,0.0
12,2016,Imperial,48006,33686,44664,21410,2404868.0,3808804.0,3278900,45753,1998,1640592.0,18548,650,140458.0,2269,284.1,2432244,34122,422.20000000000005,206,85,5,1109,56134,23957.0,90,1503,51,170552.0,0.0,0.0,0.0,0.0,0.0
